x,y,z
0,0,0
0.625,0.01875,0.03125
1.25,0.0375,0.0625
1.875,0.05625,0.09375
2.5,0.075,0.125
3.125,0.09375,0.15625
3.75,0.1125,0.1875
4.375,0.13125,0.21875
5,0.15,0.25
0,0,1
0.625,0.01875,0.96875
1.25,0.0375,0.9375
1.875,0.05625,0.90625
2.5,0.075,0.875
3.125,0.09375,0.84375
3.75,0.1125,0.8125
4.375,0.13125,0.78125
5,0.15,0.75
0,0.3,0
0.625,0.3,0.03125
1.25,0.3,0.0625
1.875,0.3,0.09375
2.5,0.3,0.125
3.125,0.3,0.15625
3.75,0.3,0.1875
4.375,0.3,0.21875
5,0.3,0.25
0,0.3,1
0.625,0.3,0.96875
1.25,0.3,0.9375
1.875,0.3,0.90625
2.5,0.3,0.875
3.125,0.3,0.84375
3.75,0.3,0.8125
4.375,0.3,0.78125
5,0.3,0.75